10/16 18:15:00.220|EXEC_START  |
--/-- --:--:--.---|VARIABLE    |NAME=取込ファイルパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup/BF_orderstatus_202410161810.csv
10/16 18:15:03.144|START       |NAME=取込F名のみ取得 
--/-- --:--:--.---|VARIABLE    |NAME=取込ファイルパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup/BF_orderstatus_202410161810.csv
--/-- --:--:--.---|INFO        |取込ファイルパス(String) 入力=[/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup/BF_orderstatus_202410161810.csv]
--/-- --:--:--.---|VARIABLE    |NAME=中間1ファイルパス, VALUE=/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502/BF_orderstatus_202410161810_inter1.csv
--/-- --:--:--.---|INFO        |中間1ファイルパス(String) 入力=[/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502/BF_orderstatus_202410161810_inter1.csv]
--/-- --:--:--.---|VARIABLE    |NAME=中間2ファイルパス, VALUE=/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502/BF_orderstatus_202410161810_inter2.csv
--/-- --:--:--.---|INFO        |中間2ファイルパス(String) 入力=[/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502/BF_orderstatus_202410161810_inter2.csv]
--/-- --:--:--.---|VARIABLE    |NAME=エラーキーファイルパス, VALUE=/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502/BF_orderstatus_202410161810_errkeys.csv
--/-- --:--:--.---|INFO        |エラーキーファイルパス(String) 入力=[/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502/BF_orderstatus_202410161810_errkeys.csv]
--/-- --:--:--.---|VARIABLE    |NAME=追加ファイルパス, VALUE=/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502/BF_orderstatus_202410161810_insert.csv
--/-- --:--:--.---|INFO        |追加ファイルパス(String) 入力=[/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502/BF_orderstatus_202410161810_insert.csv]
10/16 18:15:03.144|END         |
10/16 18:15:03.144|TRY_START   |NAME=try_準備
10/16 18:15:03.144|START       |NAME=SFDCセッションF作成 
10/16 18:15:03.144|SCRIPT_START|SCRIPT=セッションファイル生成, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=8
10/16 18:15:03.144|START       |NAME=セッションファイル存在確認 [file_operation_adapter/check_exist_file]
10/16 18:15:03.146|END         |
10/16 18:15:03.146|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=ファイル無し, RESULT=false
10/16 18:15:03.146|START       |NAME=セッションファイル読取1 [csv_adapter/get_data]
--/-- --:--:--.---|INFO        |[1]行のデータを抽出しました。
10/16 18:15:03.148|END         |
10/16 18:15:03.148|START       |NAME=変数代入1 
--/-- --:--:--.---|VARIABLE    |NAME=サーバURL, VALUE=https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0
--/-- --:--:--.---|INFO        |サーバURL(String) 入力=[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]
--/-- --:--:--.---|VARIABLE    |NAME=セッションID, VALUE=00D2v000002FbUv!ARcAQIlURfz1g9VPRMtamlym.ALWslD4iuvIvl.qD095JlcmStcRn7pVzRy9uCjLgELwRZJDo8XNz.5JeusgQGzkO1QiR22u
--/-- --:--:--.---|INFO        |セッションID(String) 入力=[00D2v000002FbUv!ARcAQIlURfz1g9VPRMtamlym.ALWslD4iuvIvl.qD095JlcmStcRn7pVzRy9uCjLgELwRZJDo8XNz.5JeusgQGzkO1QiR22u]
10/16 18:15:03.148|END         |
10/16 18:15:03.148|BRANCH_END  |
10/16 18:15:03.148|TRY_START   |NAME=try_catch
10/16 18:15:03.148|START       |NAME=セッションログイン [salesforce_adapter/session_id_login]
--/-- --:--:--.---|INFO        |サーバ[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]へセッションIDによる接続を開始します。
10/16 18:15:03.418|END         |
10/16 18:15:03.418|TRY_END     |
10/16 18:15:03.418|SCRIPT_END  |EXIT_STATUS=0
10/16 18:15:03.418|END         |
10/16 18:15:03.418|TRY_END     |
10/16 18:15:03.418|TRY_START   |NAME=try_F読込
10/16 18:15:03.418|START       |NAME=オーダー進捗F読込_1 [variablelength_adapter/get_data]
--/-- --:--:--.---|INFO        |[132]行のデータを抽出しました。
10/16 18:15:03.429|END         |
10/16 18:15:03.429|LOOP_START  |NAME=繰り返し_F読込_1
10/16 18:15:03.429|START       |NAME=必須chk・値取得 
--/-- --:--:--.---|VARIABLE    |NAME=処理結果フラグ, VALUE=0
--/-- --:--:--.---|INFO        |処理結果フラグ(int) 入力=[0]
--/-- --:--:--.---|VARIABLE    |NAME=メッセージ作業用, VALUE=
--/-- --:--:--.---|INFO        |メッセージ作業用(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=読込行番号, VALUE=1
--/-- --:--:--.---|INFO        |読込行番号(int) 入力=[1]
--/-- --:--:--.---|VARIABLE    |NAME=商談コード, VALUE=P213002B46
--/-- --:--:--.---|INFO        |商談コード(String) 入力=[P213002B46]
--/-- --:--:--.---|VARIABLE    |NAME=オーダID, VALUE=BF24061303647-01
--/-- --:--:--.---|INFO        |オーダID(String) 入力=[BF24061303647-01]
10/16 18:15:03.429|END         |
10/16 18:15:03.429|BRANCH_START|NAME=必須チェック結果
--/-- --:--:--.---|EVALUATION  |NAME=必須未入力, RESULT=false
10/16 18:15:03.429|START       |NAME=削除条件作成 
--/-- --:--:--.---|VARIABLE    |NAME=検索条件作業用, VALUE=Name LIKE 'BF24061303647%'
--/-- --:--:--.---|INFO        |検索条件作業用(String) 入力=[Name LIKE 'BF24061303647%']
10/16 18:15:03.430|END         |
10/16 18:15:03.430|START       |NAME=オーダ進捗_ID抽出 [salesforce_adapter/get_data]
--/-- --:--:--.---|INFO        |[1]件のデータ読み取り(クエリー)に成功しました。
10/16 18:15:03.489|END         |
10/16 18:15:03.489|BRANCH_START|NAME=ID抽出結果判定
--/-- --:--:--.---|EVALUATION  |NAME=IDあり, RESULT=true
10/16 18:15:03.489|LOOP_START  |NAME=繰り返し_削除ID
10/16 18:15:03.489|START       |NAME=削除ID取得 
--/-- --:--:--.---|VARIABLE    |NAME=商談コード, VALUE=P213002B46
--/-- --:--:--.---|INFO        |商談コード(String) 入力=[P213002B46]
--/-- --:--:--.---|VARIABLE    |NAME=オーダID, VALUE=BF24061303647-01
--/-- --:--:--.---|INFO        |オーダID(String) 入力=[BF24061303647-01]
