10/16 23:35:00.081|EXEC_START  |
--/-- --:--:--.---|INFO        |メッセージ(String) 入力=[jq0000mvvv000980e461pjhkp55e 現在日時＝2024-10-16T23:35:00.126+0900、ファイル名＝K01OUT01202410163、抽出件数＝112]
--/-- --:--:--.---|VARIABLE    |NAME=実行ID, VALUE=jq0000mvvv000980e461pjhkp55e
--/-- --:--:--.---|INFO        |実行ID(String) 入力=[jq0000mvvv000980e461pjhkp55e]
10/16 23:35:01.742|END         |
10/16 23:35:01.742|BRANCH_START|NAME=ログレベル判定
--/-- --:--:--.---|EVALUATION  |NAME=INFO, RESULT=true
10/16 23:35:01.742|START       |NAME=ログ出力_INFO 
10/16 23:35:01.742|END         |
10/16 23:35:01.742|BRANCH_END  |
10/16 23:35:01.742|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=異常終了, RESULT=false
--/-- --:--:--.---|EVALUATION  |NAME=警告終了, RESULT=false
10/16 23:35:01.742|BRANCH_END  |
10/16 23:35:01.742|SCRIPT_END  |EXIT_STATUS=0
10/16 23:35:01.742|END         |
10/16 23:35:01.742|START       |NAME=商談検索マップ 
10/16 23:35:01.743|END         |
10/16 23:35:01.743|START       |NAME=商談検索パラメータ生成 [salesforce_adapter/form_query_parameter]
--/-- --:--:--.---|INFO        |[112]件の入力データから、[1]件のIN句のパラメータの形成に成功しました。
10/16 23:35:02.179|END         |
10/16 23:35:02.179|LOOP_START  |NAME=foreach_1
10/16 23:35:02.179|START       |NAME=商談取得prm格納 
