10/17 05:55:00.476|EXEC_START  |
10/17 05:55:02.146|SCRIPT_START|SCRIPT=sub/300_ファイル取込, PROJECT=【データ連携HUB】WE0203_サポートサービス等応対情報取込, REPOSITORY=/home/z098847/projects/【データ連携HUB】WE0203_サポートサービス等応対情報取込, VERSION=28
--/-- --:--:--.---|VARIABLE    |NAME=取込対象ファイル, VALUE=/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup/034-000_20241017.csv
--/-- --:--:--.---|VARIABLE    |NAME=契約状況コードTファイル, VALUE=/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup/code/code042.csv
10/17 05:55:02.146|START       |NAME=取込ファイル読込 [csv_adapter/get_data]
--/-- --:--:--.---|INFO        |[1,192]行のデータを抽出しました。
10/17 05:55:02.210|END         |
10/17 05:55:02.210|START       |NAME=取込ファイル編集 
10/17 05:55:02.236|END         |
10/17 05:55:02.236|START       |NAME=UPSERT対象ファイルに出力 [csv_adapter/put_data]
--/-- --:--:--.---|INFO        |[1,191]行のデータを挿入しました。
10/17 05:55:02.252|END         |
10/17 05:55:02.252|SCRIPT_END  |EXIT_STATUS=0
10/17 05:55:02.252|END         |
10/17 05:55:02.252|START       |NAME=応対結果連携 
10/17 05:55:02.254|SCRIPT_START|SCRIPT=com/001_応対結果連携, PROJECT=【データ連携HUB】WE0203_サポートサービス等応対情報取込, REPOSITORY=/home/z098847/projects/【データ連携HUB】WE0203_サポートサービス等応対情報取込, VERSION=185
--/-- --:--:--.---|VARIABLE    |NAME=正常件数, VALUE=0
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0203
--/-- --:--:--.---|VARIABLE    |NAME=エラーCSVファイル名, VALUE=034-000_20241017_ERROR.csv
--/-- --:--:--.---|VARIABLE    |NAME=レコードタイプＩＤ, VALUE=0122v000002BEILAA4
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリ, VALUE=/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup
--/-- --:--:--.---|VARIABLE    |NAME=サービス名, VALUE=ギガらくWi-Fi／SO含む
--/-- --:--:--.---|VARIABLE    |NAME=異常件数, VALUE=0
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリ, VALUE=/data/MERGE/app/data/WE0203300/ERROR/20241017055500_j20000mvvv000980e4tpjjs4p55o_error
--/-- --:--:--.---|VARIABLE    |NAME=UPSERT対象ファイル, VALUE=034-000_20241017.csv
--/-- --:--:--.---|VARIABLE    |NAME=機能名, VALUE=サポートサービス等応対情報取込
10/17 05:55:02.254|TRY_START   |NAME=try_catch
10/17 05:55:02.254|START       |NAME=SFDCセッション取得 
10/17 05:55:02.254|SCRIPT_START|SCRIPT=セッションファイル生成, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=8
10/17 05:55:02.254|START       |NAME=セッションファイル存在確認 [file_operation_adapter/check_exist_file]
10/17 05:55:02.255|END         |
