10/17 05:51:00.441|EXEC_START  |
10/17 05:51:00.924|SCRIPT_START|SCRIPT=177_サポートサービス等応対情報取込, PROJECT=【データ連携HUB】WE0203_サポートサービス等応対情報取込, REPOSITORY=/home/z098847/projects/【データ連携HUB】WE0203_サポートサービス等応対情報取込, VERSION=98
--/-- --:--:--.---|VARIABLE    |NAME=サービス名, VALUE=オフィスまるごとサポート（ITサポート）／SO含む
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダOUT, VALUE=/
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットIN, VALUE=bm-s3-datahub-if-prod
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダIN, VALUE=/WE0203
--/-- --:--:--.---|VARIABLE    |NAME=実行ID, VALUE=
--/-- --:--:--.---|VARIABLE    |NAME=レコードＮｏ, VALUE=200
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリ, VALUE=/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリ, VALUE=/data/MERGE/app/data/WE0203200/ERROR/20241017055100_ha0000mvvv000980e41i96psp55o_error
--/-- --:--:--.---|VARIABLE    |NAME=機能名, VALUE=サポートサービス等応対情報取込
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットOUT, VALUE=bm-s3-datahub-save-prod
--/-- --:--:--.---|VARIABLE    |NAME=一時ディレクトリ, VALUE=/data/MERGE/app/temp/20241017055100_ha0000mvvv000980e41i96psp55o_WE0203
--/-- --:--:--.---|VARIABLE    |NAME=取込ファイル名パターン, VALUE=031-000*
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0203
--/-- --:--:--.---|VARIABLE    |NAME=レコードタイプＩＤ, VALUE=0122v000002BEILAA4
10/17 05:51:00.924|TRY_START   |NAME=try_catch
10/17 05:51:00.924|START       |NAME=実行スクリプトＮｏ設定 
--/-- --:--:--.---|VARIABLE    |NAME=スクリプトＮｏ, VALUE=200
--/-- --:--:--.---|INFO        |スクリプトＮｏ(String) 入力=[200]
10/17 05:51:00.924|END         |
10/17 05:51:00.924|START       |NAME=各種パス名設定 
--/-- --:--:--.---|VARIABLE    |NAME=S3バックアップディレクトリ, VALUE=/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup/S3Backup
--/-- --:--:--.---|INFO        |S3バックアップディレクトリ(String) 入力=[/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup/S3Backup]
--/-- --:--:--.---|VARIABLE    |NAME=契約状況コードTファイル, VALUE=/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup/code/code042.csv
--/-- --:--:--.---|INFO        |契約状況コードTファイル(String) 入力=[/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup/code/code042.csv]
10/17 05:51:00.924|END         |
10/17 05:51:00.924|START       |NAME=S3バックアップDir作成 [file_operation_adapter/make_directory]
